Year,Country,Christians,Muslims,Unaffiliated,Hindus,Buddhists,Folk Religions,Other Religions,Jews,All Religions
2010,Botswana,"1,450,000",<10000,"410,000",<10000,<10000,"120,000","10,000",<10000,"2,010,000"
2010,Brazil,"173,300,000","40,000","15,410,000",<10000,"250,000","5,540,000","300,000","110,000","194,950,000"
2010,British Virgin Islands,"20,000",<10000,<10000,<10000,<10000,<10000,<10000,<10000,"30,000"
2010,Brunei,"40,000","300,000",<10000,<10000,"30,000","20,000",<10000,<10000,"400,000"
2010,Bulgaria,"6,150,000","1,020,000","310,000",<10000,<10000,<10000,<10000,<10000,"7,490,000"
2010,Burkina Faso,"3,710,000","10,150,000","70,000",<10000,<10000,"2,530,000",<10000,<10000,"16,470,000"
2010,Burundi,"7,670,000","230,000",<10000,<10000,<10000,"480,000",<10000,<10000,"8,380,000"
2010,Cambodia,"50,000","280,000","30,000",<10000,"13,690,000","80,000",<10000,<10000,"14,140,000"
2010,Cameroon,"13,780,000","3,590,000","1,050,000",<10000,<10000,"650,000","530,000",<10000,"19,600,000"
2010,Canada,"23,470,000","710,000","8,050,000","470,000","280,000","390,000","300,000","350,000","34,020,000"
2010,Cape Verde,"440,000",<10000,"50,000",<10000,<10000,<10000,<10000,<10000,"500,000"
2010,Cayman Islands,"50,000",<10000,<10000,<10000,<10000,<10000,<10000,<10000,"60,000"
2010,Central African Republic,"3,940,000","370,000","40,000",<10000,<10000,"40,000",<10000,<10000,"4,400,000"
2010,Chad,"4,560,000","6,210,000","280,000",<10000,<10000,"160,000","20,000",<10000,"11,230,000"
2010,Channel Islands,"130,000",<10000,"20,000",<10000,<10000,<10000,<10000,<10000,"150,000"
2010,Chile,"15,300,000",<10000,"1,470,000",<10000,"10,000","260,000","30,000","20,000","17,110,000"
2010,China,"68,410,000","24,690,000","700,680,000","20,000","244,110,000","294,300,000","9,080,000",<10000,"1,341,310,000"
2010,Colombia,"42,810,000","10,000","3,050,000",<10000,<10000,"370,000","40,000",<10000,"46,290,000"
